serial_no,alumni_id,student_id,current_employer_id,current_title,years_experience,career_stage,skills_primary,skills_secondary,certifications,achievements,mentoring_interest,volunteering_interest,is_active_member,last_engagement_date,profile_visibility,preferred_contact_method,preferred_time_zone,portfolio_url,github_url,created_at
11,5bd554df-07de-41c5-a4e7-f8d1965e266d,cddef181-27d8-4cc1-8733-a231ebdd574d,EMP000011,ML Engineer,7.7,Senior,"Power BI, Excel, Storytelling","DAX, Modeling, Dashboards",None,Dean's List,1,1,1,06/14/2026,Private,LinkedIn,America/Los_Angeles,https://portfolio.example.com/vanessa-mann-11,https://github.com/vmann11,2025-10-25 05:48:41
12,b404296a-0025-4390-ab99-825437b28c43,b175b934-d744-45c1-9a17-2e5044ae7c82,EMP000012,Software Engineer,0.0,Early,"Git, CI/CD, Microservices","DAX, Modeling, Dashboards",AWS CCP,Volunteer Lead,0,1,0,07/15/2023,Private,Phone,America/New_York,https://portfolio.example.com/jason-bridges-12,https://github.com/jbridges12,2025-10-25 05:48:41
13,5226dea9-e25c-4b60-9a98-0cd8559cb7e9,c0d141cb-af8d-4dcf-b64b-fbfd511cf30a,EMP000013,Data Analyst,10.8,Lead,"Git, CI/CD, Microservices","ML, DL, MLOps",Security+,Volunteer Lead,1,0,1,08/15/2025,Public,Phone,America/Chicago,https://portfolio.example.com/kayla-garcia-13,https://github.com/kgarcia13,2025-10-25 05:48:41
14,39149ae1-0dab-4ecd-b377-9338c52b72b9,c8582c26-5f42-4db2-9020-4d4c5a50dfc7,EMP000014,Product Analyst,3.6,Mid,"Network Security, Splunk, IAM","SIEM, SOC",AWS CCP,Published Paper,1,0,1,05/14/2024,Private,LinkedIn,America/New_York,https://portfolio.example.com/erin-freeman-14,https://github.com/efreeman14,2025-10-25 05:48:41
15,c528c828-7dcf-413e-bd0b-8d6d4768d55e,086519fc-bdb3-49a7-8d29-8e1b1db41c3a,EMP000015,Product Analyst,8.4,Senior,"Network Security, Splunk, IAM","DAX, Modeling, Dashboards",PMP,Capstone Award,0,0,1,05/15/2023,Public,Email,America/Chicago,https://portfolio.example.com/james-mejia-15,https://github.com/jmejia15,2025-10-25 05:48:41
16,d6e70056-75db-4628-9888-b1fb78c707a8,03c691d2-c4b4-4e7e-b34d-a8bb0ae9e476,EMP000016,Cloud Engineer,0.9,Early,"Git, CI/CD, Microservices","ML, DL, MLOps",None,Dean's List,1,0,1,12/13/2022,Public,Email,America/New_York,https://portfolio.example.com/thomas-sanchez-16,https://github.com/tsanchez16,2025-10-25 05:48:41
17,e6251fad-fb6e-4a0f-a5fb-bbfc6ea5c3c1,c3448ff8-47d7-43b0-be27-bbf3696631de,EMP000017,Software Engineer,7.2,Senior,"Power BI, Excel, Storytelling","AWS, Azure, GCP",Azure Fundamentals,Volunteer Lead,1,1,0,12/31/2026,Private,Email,America/Chicago,https://portfolio.example.com/janice-anderson-17,https://github.com/janderson17,2025-10-25 05:48:41
18,3a1be98d-41de-4ece-8ee5-254f061afd68,1fa5c9ad-7909-4ae8-9a36-46eb4d24ae90,EMP000018,Business Analyst,10.8,Lead,"Java, Algorithms, Data Structures","Spark, Hadoop, PySpark",AWS CCP,Volunteer Lead,1,1,1,09/14/2026,Public,Phone,America/Chicago,https://portfolio.example.com/joe-ross-18,https://github.com/jross18,2025-10-25 05:48:41
19,0049f370-5feb-4437-a613-d5c8ae435331,9083c77c-4252-470b-a48c-1718a0099487,EMP000019,Data Engineer,0.8,Early,"Python, SQL, Statistics","ML, DL, MLOps",Azure Fundamentals,Hackathon Winner,0,1,1,12/14/2025,Public,LinkedIn,America/New_York,https://portfolio.example.com/joseph-cohen-19,https://github.com/jcohen19,2025-10-25 05:48:41
20,a21ff16e-9f99-415b-b015-c2b616bdd6d8,de3c9953-ac0f-46ec-a66e-71f36a107ff9,EMP000020,Security Analyst,6.5,Senior,"Network Security, Splunk, IAM","ML, DL, MLOps",PMP,Hackathon Winner,1,0,1,02/12/2023,SLU-only,LinkedIn,America/New_York,https://portfolio.example.com/alejandro-sanchez-20,https://github.com/asanchez20,2025-10-25 05:48:41
21,50a2ac7d-0030-49ca-a0ab-dcbd86df984f,20d44951-4c0b-47df-a6c1-645770e53541,EMP000021,Associate Consultant,0.9,Early,"Git, CI/CD, Microservices","AWS, Azure, GCP",Azure Fundamentals,Hackathon Winner,1,0,1,05/15/2026,Public,Phone,America/Chicago,https://portfolio.example.com/mason-munoz-21,https://github.com/mmunoz21,2025-10-25 05:48:41
22,07f83296-ba9f-42e8-8ad5-51ce7016310b,0700fdeb-54a9-4a38-a9ca-c4c23b42bab2,EMP000022,Cloud Engineer,3.9,Mid,"ETL, Databases, Cloud","AWS, Azure, GCP",AWS CCP,Dean's List,1,0,1,01/14/2026,SLU-only,Phone,America/New_York,https://portfolio.example.com/lisa-williams-22,https://github.com/lwilliams22,2025-10-25 05:48:41
23,6d64a889-d256-4c2c-acab-1fcbf7fec9c2,99335071-e79d-44a5-af21-995097013122,EMP000023,Business Analyst,8.7,Senior,"Java, Algorithms, Data Structures","Spark, Hadoop, PySpark",AWS CCP,Dean's List,0,0,1,06/14/2022,Public,LinkedIn,America/New_York,https://portfolio.example.com/jacqueline-soto-23,https://github.com/jsoto23,2025-10-25 05:48:41
24,2f62bab2-e7a9-4089-965c-6f7b5b4192da,d91017f6-93c2-4b97-a540-35d54ac70558,EMP000024,Business Analyst,11.0,Lead,"Python, SQL, Statistics","Communication, Teamwork",Security+,Published Paper,0,1,0,12/14/2023,Private,LinkedIn,America/New_York,https://portfolio.example.com/ariana-turner-24,https://github.com/aturner24,2025-10-25 05:48:41
25,2ed20a9e-5d08-478b-b41c-8a3c264c1bdc,9657101a-f498-4113-b083-fe7febf5f04e,EMP000025,ML Engineer,4.9,Mid,"ETL, Databases, Cloud","Communication, Teamwork",AWS CCP,Dean's List,1,0,0,08/15/2023,Public,Email,America/Los_Angeles,https://portfolio.example.com/mark-hernandez-25,https://github.com/mhernandez25,2025-10-25 05:48:41
26,61278472-6446-495c-bc17-36bd824ddb46,eb38ca0e-8990-4d8b-aa11-da730aa54be4,EMP000026,Data Analyst,0.6,Early,"Git, CI/CD, Microservices","DAX, Modeling, Dashboards",PMP,Dean's List,1,0,1,07/14/2025,SLU-only,Phone,America/New_York,https://portfolio.example.com/michelle-butler-26,https://github.com/mbutler26,2025-10-25 05:48:41
27,99c50b15-47f7-4537-b6d4-1cd9c82adf0d,dd7ca99e-152b-4a1e-8d06-4b6cefbc3bde,EMP000027,Software Engineer,3.0,Mid,"Python, SQL, Statistics","AWS, Azure, GCP",Security+,Published Paper,0,1,0,11/13/2023,Private,LinkedIn,America/Chicago,https://portfolio.example.com/joseph-smith-27,https://github.com/jsmith27,2025-10-25 05:48:41
28,9fa53475-1cc9-4f74-ad06-f01ba1394ceb,0612434e-9bb2-4e45-8cc2-0b5a18349fe5,EMP000028,Cloud Engineer,6.9,Senior,"Power BI, Excel, Storytelling","AWS, Azure, GCP",None,Published Paper,1,1,0,02/12/2023,Public,Email,America/Chicago,https://portfolio.example.com/abigail-moore-28,https://github.com/amoore28,2025-10-25 05:48:41
29,98992fb8-8144-4018-8ab7-777974d31754,31b4d28f-2aa5-41f8-a5ce-bb44eb17f973,EMP000029,QA Engineer,11.9,Lead,"Network Security, Splunk, IAM","ML, DL, MLOps",Azure Fundamentals,Volunteer Lead,0,1,0,02/12/2025,Private,Phone,America/New_York,https://portfolio.example.com/andre-miles-29,https://github.com/amiles29,2025-10-25 05:48:41
30,0a032687-5699-405f-b02b-7e508f1ce3ff,720bb7ee-1205-4b9b-9fe4-e423382a8800,EMP000030,Associate Consultant,7.8,Senior,"Java, Algorithms, Data Structures","Spark, Hadoop, PySpark",Azure Fundamentals,Hackathon Winner,1,0,0,02/12/2025,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/raymond-welch-30,https://github.com/rwelch30,2025-10-25 05:48:41
31,207adbe6-7534-45f3-aa6b-b4e245cf32df,1c817377-c4b5-4d08-b5c0-68361feaa8a6,EMP000031,Cloud Engineer,1.4,Early,"Network Security, Splunk, IAM","Spark, Hadoop, PySpark",PMP,Dean's List,1,1,1,01/13/2024,SLU-only,LinkedIn,America/Los_Angeles,https://portfolio.example.com/roberto-suarez-31,https://github.com/rsuarez31,2025-10-25 05:48:41
32,2552f8cc-7d97-4d4b-b65b-a92cf8b45c4b,bc6ccfef-cfd1-417a-9908-7beb10b148f0,EMP000032,QA Engineer,10.2,Lead,"ETL, Databases, Cloud","SIEM, SOC",Security+,Dean's List,1,1,1,02/13/2025,SLU-only,Email,America/Chicago,https://portfolio.example.com/cody-thompson-32,https://github.com/cthompson32,2025-10-25 05:48:41
33,3d7d4589-45d5-41c4-b86a-2b5a44569e63,93af3405-7385-4c99-85ff-ad1833af125a,EMP000033,Product Analyst,8.1,Senior,"Power BI, Excel, Storytelling","SIEM, SOC",AWS CCP,Published Paper,0,1,1,12/31/2026,SLU-only,Email,America/Chicago,https://portfolio.example.com/sarah-porter-33,https://github.com/sporter33,2025-10-25 05:48:41
34,066fbed1-32a7-4ee5-810c-97e821cfe712,86814efc-cb00-406c-8a06-55efec2d6b10,EMP000034,Associate Consultant,2.1,Mid,"Java, Algorithms, Data Structures","AWS, Azure, GCP",PMP,Dean's List,0,0,1,12/31/2026,SLU-only,Email,America/New_York,https://portfolio.example.com/stephanie-gardner-34,https://github.com/sgardner34,2025-10-25 05:48:41
35,408c6627-6b5b-4366-be49-62c39314a6ed,92f9d2dd-c2ba-4bc8-ace0-58ca320f757a,EMP000035,Data Analyst,5.9,Senior,"Python, SQL, Statistics","DAX, Modeling, Dashboards",None,Hackathon Winner,1,1,1,12/31/2026,Public,Email,America/Chicago,https://portfolio.example.com/wanda-russell-35,https://github.com/wrussell35,2025-10-25 05:48:41
36,741e4cf6-26db-43e7-8dff-fbe4a32c2224,aa07b5ee-c590-481b-b384-a35e51943c78,EMP000036,Cloud Engineer,8.9,Senior,"ETL, Databases, Cloud","ML, DL, MLOps",AWS CCP,Hackathon Winner,0,0,1,03/16/2023,SLU-only,Phone,America/Chicago,https://portfolio.example.com/sharon-abbott-36,https://github.com/sabbott36,2025-10-25 05:48:41
37,801f17d5-cc0f-4688-b23a-520f6740d5d8,a37a9abb-0720-41dc-8d19-e30b11cf9e44,EMP000037,Data Engineer,0.7,Early,"Network Security, Splunk, IAM","Communication, Teamwork",PMP,Hackathon Winner,0,1,1,05/15/2022,Private,Email,America/Los_Angeles,https://portfolio.example.com/katherine-stanley-37,https://github.com/kstanley37,2025-10-25 05:48:41
38,468f3673-322d-4a26-9943-f11b23bbef9b,17140980-5c84-4ffb-b281-40560fec8d7f,EMP000038,Data Engineer,2.4,Mid,"Power BI, Excel, Storytelling","Communication, Teamwork",None,Dean's List,1,1,1,08/14/2024,SLU-only,Email,America/Chicago,https://portfolio.example.com/brandon-clark-38,https://github.com/bclark38,2025-10-25 05:48:41
39,15f84723-5a2b-455a-bb09-fed5b2fc820b,a5d914c2-2a92-4692-a9b4-1e5a0f74fdc3,EMP000039,Software Engineer,4.4,Mid,"Python, SQL, Statistics","Communication, Teamwork",Security+,Volunteer Lead,0,1,0,07/14/2025,Private,Phone,America/Chicago,https://portfolio.example.com/melissa-henson-39,https://github.com/mhenson39,2025-10-25 05:48:41
40,ece293c9-94c0-4933-bcd9-9cd120733ad3,71c30979-01d8-4636-a90c-45abc761e8ea,EMP000040,Security Analyst,1.1,Early,"Network Security, Splunk, IAM","SIEM, SOC",PMP,Published Paper,1,0,0,08/14/2026,SLU-only,Email,America/Los_Angeles,https://portfolio.example.com/mary-higgins-40,https://github.com/mhiggins40,2025-10-25 05:48:41
41,8c28229c-1d5d-4559-9bd3-f555770c71f9,15631a6a-67c3-4e2b-857c-37b18107039a,EMP000041,Cloud Engineer,6.0,Senior,"ETL, Databases, Cloud","SIEM, SOC",Security+,Dean's List,1,1,1,05/15/2025,Private,LinkedIn,America/Chicago,https://portfolio.example.com/keith-gill-41,https://github.com/kgill41,2025-10-25 05:48:41
42,b3cb5591-e5af-467a-b035-1430be11055c,12c0b688-8ba9-47db-bb82-e6cf3496e9c0,EMP000042,QA Engineer,7.6,Senior,"Python, SQL, Statistics","SIEM, SOC",Security+,Published Paper,1,0,0,01/13/2024,Public,Phone,America/Los_Angeles,https://portfolio.example.com/tony-fernandez-42,https://github.com/tfernandez42,2025-10-25 05:48:41
43,21762b10-6212-44ac-a8f4-22444268a072,006313ce-bf55-4f4e-9a08-69e63e1e2af8,EMP000043,Business Analyst,3.0,Mid,"Java, Algorithms, Data Structures","Spark, Hadoop, PySpark",Azure Fundamentals,Hackathon Winner,1,0,1,11/14/2026,SLU-only,LinkedIn,America/Los_Angeles,https://portfolio.example.com/jennifer-graves-43,https://github.com/jgraves43,2025-10-25 05:48:41
44,9243858b-43c8-4b91-baf6-e2b2f62e702d,b0f951c8-fb5b-4f84-b4e6-dad912ff33dd,EMP000044,ML Engineer,5.4,Senior,"Network Security, Splunk, IAM","AWS, Azure, GCP",Security+,Dean's List,1,0,0,12/31/2026,Public,Email,America/New_York,https://portfolio.example.com/brandon-turner-44,https://github.com/bturner44,2025-10-25 05:48:41
45,cc4418f5-bef3-4ec1-bb50-4f3c1f9331a0,4a8f8664-f2aa-4978-84f8-e0c178466d08,EMP000045,Cloud Engineer,9.4,Senior,"Network Security, Splunk, IAM","Communication, Teamwork",None,Volunteer Lead,1,1,1,12/31/2026,Public,Phone,America/New_York,https://portfolio.example.com/lori-vasquez-45,https://github.com/lvasquez45,2025-10-25 05:48:41
46,71ed5b77-e9b4-4ce8-a816-38bda39cbcd3,ff9fdb16-79dd-4219-9ede-ed3cbbcf5b2b,EMP000046,Business Analyst,9.0,Senior,"Power BI, Excel, Storytelling","Communication, Teamwork",Security+,Hackathon Winner,1,0,1,12/31/2026,Private,Phone,America/New_York,https://portfolio.example.com/cindy-barber-46,https://github.com/cbarber46,2025-10-25 05:48:41
47,4d8162ce-aeb0-4800-bab6-7c8ba6b3b34e,2be1bf82-00ff-4fda-be5a-e26b69df9e06,EMP000047,Security Analyst,3.2,Mid,"Power BI, Excel, Storytelling","Spark, Hadoop, PySpark",None,Hackathon Winner,0,0,1,11/13/2025,Private,LinkedIn,America/Chicago,https://portfolio.example.com/leslie-miranda-47,https://github.com/lmiranda47,2025-10-25 05:48:41
48,a4952ece-a713-4efc-8d85-1824f17261ec,2e833822-1709-427f-b9e6-128916319f38,EMP000048,Software Engineer,0.4,Early,"ETL, Databases, Cloud","SIEM, SOC",AWS CCP,Hackathon Winner,0,1,1,02/12/2026,Private,LinkedIn,America/Los_Angeles,https://portfolio.example.com/justin-george-48,https://github.com/jgeorge48,2025-10-25 05:48:41
49,96c5eadc-5f42-45f9-904b-5a8f1d20ce65,912564cb-da24-4a47-91aa-e6d8886b4c98,EMP000049,Data Engineer,9.4,Senior,"Git, CI/CD, Microservices","Spark, Hadoop, PySpark",AWS CCP,Hackathon Winner,1,0,0,02/12/2022,SLU-only,Phone,America/Chicago,https://portfolio.example.com/sean-young-49,https://github.com/syoung49,2025-10-25 05:48:41
50,518a254c-db88-401f-8766-1fdb92cd6325,9b3fe02f-f0ea-4e37-bf3e-0ea439a244fc,EMP000050,Business Analyst,4.5,Mid,"Network Security, Splunk, IAM","SIEM, SOC",None,Hackathon Winner,0,1,1,05/16/2025,Public,LinkedIn,America/Chicago,https://portfolio.example.com/robert-logan-50,https://github.com/rlogan50,2025-10-25 05:48:41
51,74e425e8-6e83-4b88-91d7-f61097423db9,1d87b73c-6c22-46d3-b39e-d6944e9ca487,EMP000051,Software Engineer,9.1,Senior,"Power BI, Excel, Storytelling","SIEM, SOC",Azure Fundamentals,Volunteer Lead,0,0,0,04/15/2026,SLU-only,LinkedIn,America/Los_Angeles,https://portfolio.example.com/jeffrey-williams-51,https://github.com/jwilliams51,2025-10-25 05:48:41
52,f444bb2c-655c-4573-9b98-ddb74bf7a5f3,eabda4e1-c4e2-47e9-977b-9e15a302b796,EMP000052,Business Analyst,11.6,Lead,"ETL, Databases, Cloud","Communication, Teamwork",Azure Fundamentals,Volunteer Lead,0,1,0,06/14/2024,Public,Email,America/New_York,https://portfolio.example.com/william-ferguson-52,https://github.com/wferguson52,2025-10-25 05:48:41
53,9a52b0d0-00f4-4bd1-80de-207c9312420f,a8ddfda4-7ff4-4e89-9c58-fee206ad4c06,EMP000053,Data Analyst,6.5,Senior,"Git, CI/CD, Microservices","SIEM, SOC",Security+,Hackathon Winner,1,0,0,09/14/2022,Private,LinkedIn,America/New_York,https://portfolio.example.com/adam-peterson-53,https://github.com/apeterson53,2025-10-25 05:48:41
54,6e846b60-5125-478b-864f-5b8bc0139dd4,16c6f67c-7f60-4c72-9fa9-43f9c7495234,EMP000054,Security Analyst,3.5,Mid,"Java, Algorithms, Data Structures","AWS, Azure, GCP",Security+,Dean's List,0,0,1,01/14/2024,Public,Email,America/Los_Angeles,https://portfolio.example.com/michelle-simpson-54,https://github.com/msimpson54,2025-10-25 05:48:41
55,3dd35651-04f7-4112-9da1-d095dcb54f4d,663fa113-8b20-42fb-8859-1782e6b418ee,EMP000055,Data Analyst,0.6,Early,"Python, SQL, Statistics","AWS, Azure, GCP",AWS CCP,Published Paper,1,1,1,07/14/2025,SLU-only,LinkedIn,America/New_York,https://portfolio.example.com/paula-brown-55,https://github.com/pbrown55,2025-10-25 05:48:41
56,3d12e4e5-4883-4f54-b0ff-5be932b7a853,29bf32b6-42f0-4972-bca7-fe2bbd38d03b,EMP000056,Cloud Engineer,7.0,Senior,"ETL, Databases, Cloud","AWS, Azure, GCP",Azure Fundamentals,Capstone Award,1,0,1,04/14/2024,Private,LinkedIn,America/Los_Angeles,https://portfolio.example.com/travis-smith-56,https://github.com/tsmith56,2025-10-25 05:48:41
57,978f49ac-4f82-4b31-8f9f-ae97e88a2a4b,510d0d27-effc-4e36-b1f6-855244fd5cc4,EMP000057,QA Engineer,11.4,Lead,"Python, SQL, Statistics","Communication, Teamwork",None,Volunteer Lead,0,1,0,12/14/2022,Public,Email,America/Los_Angeles,https://portfolio.example.com/jessica-jackson-57,https://github.com/jjackson57,2025-10-25 05:48:41
58,7be316e2-7ca7-4466-a26d-14cdd1d382f3,c4709859-247c-4dca-bc29-f00f0e8a8d67,EMP000058,Software Engineer,3.7,Mid,"Git, CI/CD, Microservices","Spark, Hadoop, PySpark",Azure Fundamentals,Volunteer Lead,1,0,0,09/13/2025,SLU-only,Email,America/Chicago,https://portfolio.example.com/ashley-robinson-58,https://github.com/arobinson58,2025-10-25 05:48:41
59,1d70cd53-d436-40e8-b8cc-a1b4e26907b8,a5c835f8-f869-4e3e-aea8-01e0b1ccdace,EMP000059,ML Engineer,7.6,Senior,"Git, CI/CD, Microservices","DAX, Modeling, Dashboards",Security+,Published Paper,0,1,0,11/13/2025,SLU-only,Email,America/Los_Angeles,https://portfolio.example.com/kenneth-hogan-59,https://github.com/khogan59,2025-10-25 05:48:41
60,90eedc28-5331-43ac-ba57-55fb6c9ab96e,550d7d53-7a6f-4d1d-a8c4-76c4d77bd504,EMP000060,ML Engineer,0.8,Early,"Python, SQL, Statistics","ML, DL, MLOps",AWS CCP,Published Paper,1,1,0,02/12/2022,Private,Phone,America/New_York,https://portfolio.example.com/adam-lee-60,https://github.com/alee60,2025-10-25 05:48:41
61,a29b920c-3c93-40da-b0e5-660087016296,cb38eabc-76f7-447c-8cbd-8dc8b9d6c62c,EMP000061,Product Analyst,11.6,Lead,"ETL, Databases, Cloud","ML, DL, MLOps",None,Volunteer Lead,0,1,0,03/16/2023,Private,LinkedIn,America/New_York,https://portfolio.example.com/martin-berry-61,https://github.com/mberry61,2025-10-25 05:48:41
62,52353e38-fde8-4d6e-8bf1-8fc68762bfdd,f90e9b4b-9f73-4f93-8fab-1f9c38d2f224,EMP000062,Data Engineer,10.0,Lead,"Git, CI/CD, Microservices","Spark, Hadoop, PySpark",AWS CCP,Dean's List,0,1,0,12/14/2026,SLU-only,LinkedIn,America/Chicago,https://portfolio.example.com/melanie-powell-62,https://github.com/mpowell62,2025-10-25 05:48:41
63,581f4637-a2bd-4b9c-a35a-7bb8ff06f459,68d74654-1732-4e77-ab51-07195f6da446,EMP000063,Data Engineer,8.2,Senior,"Power BI, Excel, Storytelling","SIEM, SOC",AWS CCP,Volunteer Lead,0,0,1,08/14/2024,Public,LinkedIn,America/Los_Angeles,https://portfolio.example.com/michael-smith-63,https://github.com/msmith63,2025-10-25 05:48:41
64,8afa199b-1585-470f-8ac0-3b07bf4252ed,d600f765-ec69-4022-9a48-d0e06e949d0c,EMP000064,Associate Consultant,9.1,Senior,"ETL, Databases, Cloud","Communication, Teamwork",Azure Fundamentals,Capstone Award,1,1,0,09/14/2026,Public,Email,America/Los_Angeles,https://portfolio.example.com/sue-garcia-64,https://github.com/sgarcia64,2025-10-25 05:48:41
65,1a5e9dd3-b6da-4762-953e-9ac90a21465d,9fdb2cd1-c96a-4bcc-bbdb-e9d8148d734d,EMP000065,Data Engineer,11.1,Lead,"ETL, Databases, Cloud","SIEM, SOC",PMP,Capstone Award,1,1,1,08/14/2024,Private,Phone,America/New_York,https://portfolio.example.com/steve-lawson-65,https://github.com/slawson65,2025-10-25 05:48:41
66,3b2d857d-ebe8-4900-ae2e-01f5ef3350a5,0b03f353-8181-418d-b380-6e10c25782cf,EMP000066,Data Engineer,6.9,Senior,"Git, CI/CD, Microservices","SIEM, SOC",PMP,Volunteer Lead,1,0,0,07/15/2025,Private,Email,America/Chicago,https://portfolio.example.com/carrie-meza-66,https://github.com/cmeza66,2025-10-25 05:48:41
67,208ca983-5035-45de-864b-1a8d4abb854d,f913de1b-b267-4a01-85d4-136d7c849d48,EMP000067,Product Analyst,7.5,Senior,"Java, Algorithms, Data Structures","Spark, Hadoop, PySpark",Azure Fundamentals,Capstone Award,1,0,1,09/14/2024,Private,Phone,America/Chicago,https://portfolio.example.com/darren-anderson-67,https://github.com/danderson67,2025-10-25 05:48:41
68,9e2d0dbe-2325-4f81-9dbd-033a27685a2b,a6ef4500-4be1-455b-a962-f932fa4430de,EMP000068,Associate Consultant,0.9,Early,"Python, SQL, Statistics","SIEM, SOC",None,Volunteer Lead,0,1,0,09/13/2024,SLU-only,Email,America/Chicago,https://portfolio.example.com/amy-edwards-68,https://github.com/aedwards68,2025-10-25 05:48:41
69,16f7a19a-72dc-4c8a-a07d-c80e38a05c2a,dde0a2c0-5a98-40ec-9301-270c0c298cb2,EMP000069,Data Analyst,6.0,Senior,"Java, Algorithms, Data Structures","DAX, Modeling, Dashboards",Azure Fundamentals,Hackathon Winner,0,1,0,12/31/2026,Public,Email,America/Los_Angeles,https://portfolio.example.com/kevin-ramos-69,https://github.com/kramos69,2025-10-25 05:48:41
70,5f503270-e203-4c28-94a5-86f1ec710dad,b5e78b30-045f-40af-b294-9ba21b231464,EMP000070,Associate Consultant,2.7,Mid,"Git, CI/CD, Microservices","SIEM, SOC",Security+,Hackathon Winner,0,0,1,12/31/2026,Public,LinkedIn,America/Los_Angeles,https://portfolio.example.com/melissa-fischer-70,https://github.com/mfischer70,2025-10-25 05:48:41
71,417220d0-2434-41f1-bf7a-180639db2a4a,7ae36a35-5ba8-454c-b7e5-61ecdd6bc31d,EMP000071,ML Engineer,2.7,Mid,"Java, Algorithms, Data Structures","SIEM, SOC",AWS CCP,Hackathon Winner,1,0,0,04/16/2023,Private,LinkedIn,America/Chicago,https://portfolio.example.com/walter-sawyer-71,https://github.com/wsawyer71,2025-10-25 05:48:41
