serial_no,student_id,slu_banner_id,first_name,last_name,preferred_name,slu_email,personal_email,phone_e164,program_name,college_name,concentration,start_term,grad_term,graduation_year,visa_status,opt_status,current_location_city,current_location_state,current_location_country,linkedin_url
11,cddef181-27d8-4cc1-8733-a231ebdd574d,B0100011,Vanessa,Mann,Vanessa,vmann.11@slu.edu,vanessa.mann11@example.com,14969295368,MS Information Systems,School of Science & Engineering,Data Analytics,Spring-2024,Spring-2025,2025,Citizen,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-11
12,b175b934-d744-45c1-9a17-2e5044ae7c82,B0100012,Jason,Bridges,Vanessa,jbridges.12@slu.edu,jason.bridges12@example.com,15104763185,MS Information Technology,School of Science & Engineering,Networking,Spring-2020,Summer-2022,2022,H1B,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-12
13,c0d141cb-af8d-4dcf-b64b-fbfd511cf30a,B0100013,Kayla,Garcia,Kayla,kgarcia.13@slu.edu,kayla.garcia13@example.com,19844909961,MS Information Technology,School of Science & Engineering,Networking,Spring-2022,Fall-2024,2024,PR,None,Boston,MA,USA,https://www.linkedin.com/in/slu-student-13
14,c8582c26-5f42-4db2-9020-4d4c5a50dfc7,B0100014,Erin,Freeman,Erin,efreeman.14@slu.edu,erin.freeman14@example.com,14302459323,MS Information Systems,School of Science & Engineering,Data Analytics,Spring-2021,Summer-2023,2023,F1,OPT,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-14
15,086519fc-bdb3-49a7-8d29-8e1b1db41c3a,B0100015,James,Mejia,James,jmejia.15@slu.edu,james.mejia15@example.com,15202662153,MS Information Systems,School of Science & Engineering,Data Analytics,Fall-2020,Spring-2022,2022,F1,OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-15
16,03c691d2-c4b4-4e7e-b34d-a8bb0ae9e476,B0100016,Thomas,Sanchez,James,tsanchez.16@slu.edu,thomas.sanchez16@example.com,17815484611,MS Information Technology,School of Science & Engineering,Networking,Summer-2020,Spring-2021,2021,F1,STEM OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-16
17,c3448ff8-47d7-43b0-be27-bbf3696631de,B0100017,Janice,Anderson,Janice,janderson.17@slu.edu,janice.anderson17@example.com,13023962581,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Spring-2024,Summer-2025,2025,PR,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-17
18,1fa5c9ad-7909-4ae8-9a36-46eb4d24ae90,B0100018,Joe,Ross,Joe,jross.18@slu.edu,joe.ross18@example.com,12073472663,MBA,Chaifetz School of Business,Business Analytics,Summer-2024,Summer-2025,2025,PR,None,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-18
19,9083c77c-4252-470b-a48c-1718a0099487,B0100019,Joseph,Cohen,Joseph,jcohen.19@slu.edu,joseph.cohen19@example.com,15117548242,MS Information Technology,School of Science & Engineering,Networking,Spring-2023,Summer-2025,2025,F1,STEM OPT,Boston,MA,USA,https://www.linkedin.com/in/slu-student-19
20,de3c9953-ac0f-46ec-a66e-71f36a107ff9,B0100020,Alejandro,Sanchez,Joseph,asanchez.20@slu.edu,alejandro.sanchez20@example.com,14948786784,MS Information Systems,School of Science & Engineering,Data Analytics,Spring-2020,Spring-2022,2022,F1,STEM OPT,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-20
21,20d44951-4c0b-47df-a6c1-645770e53541,B0100021,Mason,Munoz,Mason,mmunoz.21@slu.edu,mason.munoz21@example.com,15008668035,MS Information Systems,School of Science & Engineering,Data Analytics,Summer-2024,Summer-2025,2025,F1,OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-21
22,0700fdeb-54a9-4a38-a9ca-c4c23b42bab2,B0100022,Lisa,Williams,Lisa,lwilliams.22@slu.edu,lisa.williams22@example.com,13634932373,MS Information Systems,School of Science & Engineering,Data Analytics,Summer-2022,Summer-2024,2024,Other,None,Hyderabad,MO,India,https://www.linkedin.com/in/slu-student-22
23,99335071-e79d-44a5-af21-995097013122,B0100023,Jacqueline,Soto,Jacqueline,jsoto.23@slu.edu,jacqueline.soto23@example.com,18843282594,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Summer-2020,Spring-2021,2021,F1,OPT,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-23
24,d91017f6-93c2-4b97-a540-35d54ac70558,B0100024,Ariana,Turner,Jacqueline,aturner.24@slu.edu,ariana.turner24@example.com,13752337123,MS Information Systems,School of Science & Engineering,Data Analytics,Spring-2022,Summer-2023,2023,PR,None,Hyderabad,IL,India,https://www.linkedin.com/in/slu-student-24
25,9657101a-f498-4113-b083-fe7febf5f04e,B0100025,Mark,Hernandez,Mark,mhernandez.25@slu.edu,mark.hernandez25@example.com,14724724098,MS Software Engineering,School of Science & Engineering,Cloud Computing,Spring-2020,Summer-2022,2022,PR,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-25
26,eb38ca0e-8990-4d8b-aa11-da730aa54be4,B0100026,Michelle,Butler,Michelle,mbutler.26@slu.edu,michelle.butler26@example.com,17249751651,MS Computer Science,School of Science & Engineering,AI & ML,Spring-2022,Spring-2024,2024,PR,None,Hyderabad,MO,India,https://www.linkedin.com/in/slu-student-26
27,dd7ca99e-152b-4a1e-8d06-4b6cefbc3bde,B0100027,Joseph,Smith,Joseph,jsmith.27@slu.edu,joseph.smith27@example.com,15913224653,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Summer-2020,Spring-2022,2022,PR,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-27
28,0612434e-9bb2-4e45-8cc2-0b5a18349fe5,B0100028,Abigail,Moore,Joseph,amoore.28@slu.edu,abigail.moore28@example.com,17772187877,MS Computer Science,School of Science & Engineering,AI & ML,Fall-2020,Spring-2022,2022,H1B,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-28
29,31b4d28f-2aa5-41f8-a5ce-bb44eb17f973,B0100029,Andre,Miles,Andre,amiles.29@slu.edu,andre.miles29@example.com,12287283447,MS Information Systems,School of Science & Engineering,Data Analytics,Spring-2021,Summer-2023,2023,F1,STEM OPT,Austin,TX,USA,https://www.linkedin.com/in/slu-student-29
30,720bb7ee-1205-4b9b-9fe4-e423382a8800,B0100030,Raymond,Welch,Raymond,rwelch.30@slu.edu,raymond.welch30@example.com,17509131277,MBA,Chaifetz School of Business,Business Analytics,Summer-2023,Spring-2024,2024,Citizen,None,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-30
31,1c817377-c4b5-4d08-b5c0-68361feaa8a6,B0100031,Roberto,Suarez,Roberto,rsuarez.31@slu.edu,roberto.suarez31@example.com,12584627162,MS Data Science,School of Science & Engineering,Big Data,Summer-2022,Spring-2023,2023,F1,STEM OPT,Boston,MA,USA,https://www.linkedin.com/in/slu-student-31
32,bc6ccfef-cfd1-417a-9908-7beb10b148f0,B0100032,Cody,Thompson,Roberto,cthompson.32@slu.edu,cody.thompson32@example.com,15077927724,MBA,Chaifetz School of Business,Business Analytics,Fall-2022,Summer-2024,2024,F1,STEM OPT,New York,NY,USA,https://www.linkedin.com/in/slu-student-32
33,93af3405-7385-4c99-85ff-ad1833af125a,B0100033,Sarah,Porter,Sarah,sporter.33@slu.edu,sarah.porter33@example.com,18846641205,MBA,Chaifetz School of Business,Business Analytics,Spring-2024,Fall-2026,2026,PR,None,Boston,MA,USA,https://www.linkedin.com/in/slu-student-33
34,86814efc-cb00-406c-8a06-55efec2d6b10,B0100034,Stephanie,Gardner,Stephanie,sgardner.34@slu.edu,stephanie.gardner34@example.com,12289228184,MS Computer Science,School of Science & Engineering,AI & ML,Fall-2024,Summer-2026,2026,F1,STEM OPT,New York,NY,USA,https://www.linkedin.com/in/slu-student-34
35,92f9d2dd-c2ba-4bc8-ace0-58ca320f757a,B0100035,Wanda,Russell,Wanda,wrussell.35@slu.edu,wanda.russell35@example.com,19877293001,MS Computer Science,School of Science & Engineering,AI & ML,Fall-2023,Fall-2025,2025,F1,STEM OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-35
36,aa07b5ee-c590-481b-b384-a35e51943c78,B0100036,Sharon,Abbott,Wanda,sabbott.36@slu.edu,sharon.abbott36@example.com,12648273549,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Spring-2020,Summer-2022,2022,F1,STEM OPT,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-36
37,a37a9abb-0720-41dc-8d19-e30b11cf9e44,B0100037,Katherine,Stanley,Katherine,kstanley.37@slu.edu,katherine.stanley37@example.com,12769914865,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2020,Summer-2021,2021,Other,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-37
38,17140980-5c84-4ffb-b281-40560fec8d7f,B0100038,Brandon,Clark,Brandon,bclark.38@slu.edu,brandon.clark38@example.com,19325118784,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Fall-2020,Fall-2022,2022,F1,OPT,Hyderabad,IL,India,https://www.linkedin.com/in/slu-student-38
39,a5d914c2-2a92-4692-a9b4-1e5a0f74fdc3,B0100039,Melissa,Henson,Melissa,mhenson.39@slu.edu,melissa.henson39@example.com,18716925565,MS Information Technology,School of Science & Engineering,Networking,Spring-2022,Spring-2024,2024,PR,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-39
40,71c30979-01d8-4636-a90c-45abc761e8ea,B0100040,Mary,Higgins,Melissa,mhiggins.40@slu.edu,mary.higgins40@example.com,13899713427,MS Data Science,School of Science & Engineering,Big Data,Summer-2023,Spring-2025,2025,Other,None,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-40
41,15631a6a-67c3-4e2b-857c-37b18107039a,B0100041,Keith,Gill,Keith,kgill.41@slu.edu,keith.gill41@example.com,15068498805,MS Information Systems,School of Science & Engineering,Data Analytics,Summer-2022,Fall-2023,2023,F1,STEM OPT,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-41
42,12c0b688-8ba9-47db-bb82-e6cf3496e9c0,B0100042,Tony,Fernandez,Tony,tfernandez.42@slu.edu,tony.fernandez42@example.com,18177782567,MS Data Science,School of Science & Engineering,Big Data,Fall-2020,Spring-2022,2022,F1,None,Hyderabad,IL,India,https://www.linkedin.com/in/slu-student-42
43,006313ce-bf55-4f4e-9a08-69e63e1e2af8,B0100043,Jennifer,Graves,Jennifer,jgraves.43@slu.edu,jennifer.graves43@example.com,13824199087,MS Information Technology,School of Science & Engineering,Networking,Fall-2024,Summer-2025,2025,F1,STEM OPT,New York,NY,USA,https://www.linkedin.com/in/slu-student-43
44,b0f951c8-fb5b-4f84-b4e6-dad912ff33dd,B0100044,Brandon,Turner,Jennifer,bturner.44@slu.edu,brandon.turner44@example.com,19639601424,MS Software Engineering,School of Science & Engineering,Cloud Computing,Fall-2024,Spring-2026,2026,H1B,None,Austin,TX,USA,https://www.linkedin.com/in/slu-student-44
45,4a8f8664-f2aa-4978-84f8-e0c178466d08,B0100045,Lori,Vasquez,Lori,lvasquez.45@slu.edu,lori.vasquez45@example.com,16775807460,MS Software Engineering,School of Science & Engineering,Cloud Computing,Fall-2024,Summer-2026,2026,Other,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-45
46,ff9fdb16-79dd-4219-9ede-ed3cbbcf5b2b,B0100046,Cindy,Barber,Cindy,cbarber.46@slu.edu,cindy.barber46@example.com,12854074355,MS Information Systems,School of Science & Engineering,Data Analytics,Summer-2024,Fall-2026,2026,PR,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-46
47,2be1bf82-00ff-4fda-be5a-e26b69df9e06,B0100047,Leslie,Miranda,Leslie,lmiranda.47@slu.edu,leslie.miranda47@example.com,12246038880,MBA,Chaifetz School of Business,Business Analytics,Summer-2023,Spring-2024,2024,H1B,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-47
48,2e833822-1709-427f-b9e6-128916319f38,B0100048,Justin,George,Leslie,jgeorge.48@slu.edu,justin.george48@example.com,16515236561,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2023,Spring-2024,2024,Other,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-48
49,912564cb-da24-4a47-91aa-e6d8886b4c98,B0100049,Sean,Young,Sean,syoung.49@slu.edu,sean.young49@example.com,17539443304,MS Cybersecurity,School of Science & Engineering,Network Security,Summer-2020,Spring-2021,2021,F1,OPT,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-49
50,9b3fe02f-f0ea-4e37-bf3e-0ea439a244fc,B0100050,Robert,Logan,Robert,rlogan.50@slu.edu,robert.logan50@example.com,17529734888,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Spring-2023,Fall-2024,2024,Citizen,None,Hyderabad,TX,India,https://www.linkedin.com/in/slu-student-50
51,1d87b73c-6c22-46d3-b39e-d6944e9ca487,B0100051,Jeffrey,Williams,Jeffrey,jwilliams.51@slu.edu,jeffrey.williams51@example.com,14885735270,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2024,Summer-2025,2025,F1,STEM OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-51
52,eabda4e1-c4e2-47e9-977b-9e15a302b796,B0100052,William,Ferguson,Jeffrey,wferguson.52@slu.edu,william.ferguson52@example.com,13103912761,MS Computer Science,School of Science & Engineering,AI & ML,Spring-2022,Summer-2023,2023,PR,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-52
53,a8ddfda4-7ff4-4e89-9c58-fee206ad4c06,B0100053,Adam,Peterson,Adam,apeterson.53@slu.edu,adam.peterson53@example.com,12927849802,MS Information Systems,School of Science & Engineering,Data Analytics,Fall-2020,Summer-2021,2021,PR,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-53
54,16c6f67c-7f60-4c72-9fa9-43f9c7495234,B0100054,Michelle,Simpson,Michelle,msimpson.54@slu.edu,michelle.simpson54@example.com,15197801790,MS Information Technology,School of Science & Engineering,Networking,Spring-2021,Summer-2023,2023,F1,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-54
55,663fa113-8b20-42fb-8859-1782e6b418ee,B0100055,Paula,Brown,Paula,pbrown.55@slu.edu,paula.brown55@example.com,15789756507,MS Software Engineering,School of Science & Engineering,Cloud Computing,Spring-2023,Spring-2024,2024,F1,STEM OPT,Austin,TX,USA,https://www.linkedin.com/in/slu-student-55
56,29bf32b6-42f0-4972-bca7-fe2bbd38d03b,B0100056,Travis,Smith,Paula,tsmith.56@slu.edu,travis.smith56@example.com,18378411912,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Fall-2022,Summer-2023,2023,H1B,None,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-56
57,510d0d27-effc-4e36-b1f6-855244fd5cc4,B0100057,Jessica,Jackson,Jessica,jjackson.57@slu.edu,jessica.jackson57@example.com,14447055598,MS Computer Science,School of Science & Engineering,AI & ML,Summer-2020,Summer-2022,2022,F1,OPT,Hyderabad,WA,India,https://www.linkedin.com/in/slu-student-57
58,c4709859-247c-4dca-bc29-f00f0e8a8d67,B0100058,Ashley,Robinson,Ashley,arobinson.58@slu.edu,ashley.robinson58@example.com,15572834678,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2024,Spring-2025,2025,PR,None,Austin,TX,USA,https://www.linkedin.com/in/slu-student-58
59,a5c835f8-f869-4e3e-aea8-01e0b1ccdace,B0100059,Kenneth,Hogan,Kenneth,khogan.59@slu.edu,kenneth.hogan59@example.com,18929876736,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Spring-2024,Spring-2025,2025,Citizen,None,Austin,TX,USA,https://www.linkedin.com/in/slu-student-59
60,550d7d53-7a6f-4d1d-a8c4-76c4d77bd504,B0100060,Adam,Lee,Kenneth,alee.60@slu.edu,adam.lee60@example.com,16742073198,MS Cybersecurity,School of Science & Engineering,Network Security,Spring-2020,Spring-2021,2021,F1,OPT,New York,NY,USA,https://www.linkedin.com/in/slu-student-60
61,cb38eabc-76f7-447c-8cbd-8dc8b9d6c62c,B0100061,Martin,Berry,Martin,mberry.61@slu.edu,martin.berry61@example.com,15119732488,MS Information Technology,School of Science & Engineering,Networking,Fall-2021,Fall-2022,2022,F1,STEM OPT,Hyderabad,NY,India,https://www.linkedin.com/in/slu-student-61
62,f90e9b4b-9f73-4f93-8fab-1f9c38d2f224,B0100062,Melanie,Powell,Melanie,mpowell.62@slu.edu,melanie.powell62@example.com,13737986425,MBA,Chaifetz School of Business,Business Analytics,Fall-2023,Summer-2025,2025,Other,None,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-62
63,68d74654-1732-4e77-ab51-07195f6da446,B0100063,Michael,Smith,Michael,msmith.63@slu.edu,michael.smith63@example.com,19845348311,MBA,Chaifetz School of Business,Business Analytics,Summer-2021,Summer-2023,2023,F1,OPT,New York,NY,USA,https://www.linkedin.com/in/slu-student-63
64,d600f765-ec69-4022-9a48-d0e06e949d0c,B0100064,Sue,Garcia,Michael,sgarcia.64@slu.edu,sue.garcia64@example.com,13674999809,MS Cybersecurity,School of Science & Engineering,Network Security,Summer-2024,Summer-2025,2025,F1,STEM OPT,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-64
65,9fdb2cd1-c96a-4bcc-bbdb-e9d8148d734d,B0100065,Steve,Lawson,Steve,slawson.65@slu.edu,steve.lawson65@example.com,12043877758,MS Cybersecurity,School of Science & Engineering,Network Security,Summer-2021,Fall-2022,2022,F1,OPT,New York,NY,USA,https://www.linkedin.com/in/slu-student-65
66,0b03f353-8181-418d-b380-6e10c25782cf,B0100066,Carrie,Meza,Carrie,cmeza.66@slu.edu,carrie.meza66@example.com,15178964043,MS Cybersecurity,School of Science & Engineering,Network Security,Fall-2022,Summer-2024,2024,F1,OPT,Boston,MA,USA,https://www.linkedin.com/in/slu-student-66
67,f913de1b-b267-4a01-85d4-136d7c849d48,B0100067,Darren,Anderson,Darren,danderson.67@slu.edu,darren.anderson67@example.com,16859672753,MS Information Technology,School of Science & Engineering,Networking,Summer-2022,Fall-2023,2023,Other,None,Austin,TX,USA,https://www.linkedin.com/in/slu-student-67
68,a6ef4500-4be1-455b-a962-f932fa4430de,B0100068,Amy,Edwards,Darren,aedwards.68@slu.edu,amy.edwards68@example.com,17727542215,MS Software Engineering,School of Science & Engineering,Cloud Computing,Spring-2023,Spring-2024,2024,F1,OPT,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-68
69,dde0a2c0-5a98-40ec-9301-270c0c298cb2,B0100069,Kevin,Ramos,Kevin,kramos.69@slu.edu,kevin.ramos69@example.com,17968569765,MS Software Engineering,School of Science & Engineering,Cloud Computing,Fall-2024,Fall-2026,2026,H1B,None,Boston,MA,USA,https://www.linkedin.com/in/slu-student-69
70,b5e78b30-045f-40af-b294-9ba21b231464,B0100070,Melissa,Fischer,Melissa,mfischer.70@slu.edu,melissa.fischer70@example.com,16182362599,MS Software Engineering,School of Science & Engineering,Cloud Computing,Spring-2024,Fall-2026,2026,Other,None,Boston,MA,USA,https://www.linkedin.com/in/slu-student-70
71,7ae36a35-5ba8-454c-b7e5-61ecdd6bc31d,B0100071,Walter,Sawyer,Walter,wsawyer.71@slu.edu,walter.sawyer71@example.com,17626207786,MS Information Systems,School of Science & Engineering,Data Analytics,Spring-2021,Fall-2022,2022,F1,None,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-71
72,840e5121-f5e7-4b39-8c74-4eb6e39d1177,B0100072,Brian,Owens,Walter,bowens.72@slu.edu,brian.owens72@example.com,19636876845,MS Information Systems,School of Science & Engineering,Data Analytics,Summer-2023,Fall-2024,2024,F1,None,Hyderabad,WA,India,https://www.linkedin.com/in/slu-student-72
73,c7350b9c-2cd1-456a-977c-f9cda916bbe2,B0100073,Holly,Mitchell,Holly,hmitchell.73@slu.edu,holly.mitchell73@example.com,13839853242,MBA,Chaifetz School of Business,Business Analytics,Spring-2020,Fall-2022,2022,Other,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-73
74,e39fe27c-5727-4cf5-99ae-4fda5978aed6,B0100074,Michael,Williams,Michael,mwilliams.74@slu.edu,michael.williams74@example.com,19743409845,MS Cybersecurity,School of Science & Engineering,Network Security,Summer-2021,Summer-2023,2023,PR,None,Chicago,IL,USA,https://www.linkedin.com/in/slu-student-74
75,6da5ae7b-363a-4320-8758-3b4b50dda798,B0100075,Mackenzie,Jones,Mackenzie,mjones.75@slu.edu,mackenzie.jones75@example.com,17652058452,MS Computer Science,School of Science & Engineering,AI & ML,Summer-2024,Fall-2026,2026,F1,STEM OPT,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-75
76,55beeb42-0b77-4610-b9b4-0ee98fc0bffa,B0100076,Samuel,Farrell,Mackenzie,sfarrell.76@slu.edu,samuel.farrell76@example.com,12192625282,MS Computer Science,School of Science & Engineering,AI & ML,Spring-2022,Spring-2024,2024,F1,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-76
77,2c2472a4-3a0c-48bb-91df-499857ce46c6,B0100077,Alexis,Curtis,Alexis,acurtis.77@slu.edu,alexis.curtis77@example.com,17903115442,MBA,Chaifetz School of Business,Business Analytics,Fall-2020,Spring-2021,2021,Other,None,Dallas,TX,USA,https://www.linkedin.com/in/slu-student-77
78,96364207-cb1a-4768-9def-c772867e586e,B0100078,Ruben,Curtis,Ruben,rcurtis.78@slu.edu,ruben.curtis78@example.com,19798946873,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Spring-2023,Summer-2024,2024,F1,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-78
79,9938c3d0-3421-45e5-bf0c-fa295464a204,B0100079,Catherine,Andrade,Catherine,candrade.79@slu.edu,catherine.andrade79@example.com,16772986005,MS Data Science,School of Science & Engineering,Big Data,Summer-2022,Fall-2023,2023,F1,STEM OPT,Seattle,WA,USA,https://www.linkedin.com/in/slu-student-79
80,84e21646-7274-4f21-9b02-14d2e0ef6491,B0100080,Andrew,Vasquez,Catherine,avasquez.80@slu.edu,andrew.vasquez80@example.com,19867783658,MS Business Analytics,Chaifetz School of Business,Predictive Modeling,Summer-2023,Fall-2024,2024,F1,STEM OPT,Bengaluru,WA,India,https://www.linkedin.com/in/slu-student-80
81,ced00964-755c-4f70-b143-6e30ca01d803,B0100081,Lisa,Burns,Lisa,lburns.81@slu.edu,lisa.burns81@example.com,16766411619,MS Software Engineering,School of Science & Engineering,Cloud Computing,Summer-2024,Fall-2025,2025,F1,STEM OPT,Boston,MA,USA,https://www.linkedin.com/in/slu-student-81
82,5982af4d-0209-4a7d-b6ab-51d4615eeff4,B0100082,Justin,Baxter,Justin,jbaxter.82@slu.edu,justin.baxter82@example.com,15909335696,MS Information Technology,School of Science & Engineering,Networking,Summer-2023,Spring-2025,2025,Citizen,None,Boston,MA,USA,https://www.linkedin.com/in/slu-student-82
83,622d141e-9b67-47b5-94cd-d413cef9163c,B0100083,Lori,Miller,Lori,lmiller.83@slu.edu,lori.miller83@example.com,14397005756,MS Data Science,School of Science & Engineering,Big Data,Fall-2024,Spring-2025,2025,PR,None,St. Louis,MO,USA,https://www.linkedin.com/in/slu-student-83
84,085c5798-fd36-456e-b7c4-a8020cbd17d4,B0100084,Alicia,Green,Lori,agreen.84@slu.edu,alicia.green84@example.com,14995774008,MS Data Science,School of Science & Engineering,Big Data,Fall-2022,Fall-2023,2023,H1B,None,Bengaluru,MO,India,https://www.linkedin.com/in/slu-student-84
85,a5a342a3-ea66-455a-9a7f-7d96c79750ec,B0100085,Isaac,Nelson,Isaac,inelson.85@slu.edu,isaac.nelson85@example.com,19294069625,MBA,Chaifetz School of Business,Business Analytics,Summer-2021,Spring-2022,2022,Other,None,Hyderabad,MO,India,https://www.linkedin.com/in/slu-student-85
86,f3096aed-819c-4c42-9d4a-faa498486c82,B0100086,Christopher,Martinez,Christopher,cmartinez.86@slu.edu,christopher.martinez86@example.com,15249491630,MBA,Chaifetz School of Business,Business Analytics,Spring-2020,Summer-2022,2022,F1,None,New York,NY,USA,https://www.linkedin.com/in/slu-student-86
87,f7b4c23c-9965-48cd-92bd-910b6dd8c1fb,B0100087,Christine,Manning,Christine,cmanning.87@slu.edu,christine.manning87@example.com,14609308627,MS Software Engineering,School of Science & Engineering,Cloud Computing,Spring-2022,Spring-2024,2024,PR,None,Hyderabad,NY,India,https://www.linkedin.com/in/slu-student-87
